customer_id,first_name,last_name,email,phone,username,password_hash,security_question,security_answer,preferred_contact_method,risk_level,account_opened_date
CUST037,Timothy,Sanchez,tim.s@email.com,555-0137,timothysanchez,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What city were you born in?,Buddy,email,low,2021-08-12
CUST038,Natalie,Morris,natalie.m@email.com,555-0138,nataliemorris,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What was the make of your first car?,Rocky,email,low,2022-04-28
CUST039,Jeffrey,Rogers,jeff.r@email.com,555-0139,jeffreyrogers,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What was the name of your first school?,Luna,text,low,2019-01-17
CUST040,Lindsay,Reed,lindsay.r@email.com,555-0140,lindsayreed,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What was your first pet's name?,Fluffy,email,low,2020-11-03
CUST041,Sean,Cook,sean.c@email.com,555-0141,seancook,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What city were you born in?,Buddy,phone,low,2018-06-25
CUST042,Vanessa,Morgan,vanessa.m@email.com,555-0142,vanessamorgan,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What is your favorite movie?,Daisy,email,low,2019-09-14
CUST043,Adam,Bell,adam.b@email.com,555-0143,adambell,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What was your mother's maiden name?,Max,email,medium,2023-01-08
CUST044,Crystal,Murphy,crystal.m@email.com,555-0144,crystalmurphy,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What is your favorite food?,Lucy,email,low,2021-05-21
CUST045,Paul,Bailey,paul.b@email.com,555-0145,paulbailey,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What was the name of your first school?,Luna,text,low,2018-12-30
CUST046,Monica,Rivera,monica.r@email.com,555-0146,monicarivera,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What was the make of your first car?,Rocky,phone,low,2020-02-11
CUST047,Keith,Cooper,keith.c@email.com,555-0147,keithcooper,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What was the name of your first school?,Luna,email,medium,2022-08-16
CUST048,Stacy,Richardson,stacy.r@email.com,555-0148,stacyrichardson,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What was the name of your first teacher?,Milo,phone,low,2017-05-08
CUST049,Derrick,Cox,derrick.c@email.com,555-0149,derrickcox,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What is your favorite movie?,Daisy,email,medium,2023-04-19
CUST050,Whitney,Ward,whitney.w@email.com,555-0150,whitneyward,$2b$12$LQv3c1yqBWVHxkd0LHAkCOYz6TtxMQJqhN8/LewdBPj4J/5QqHh6e,What is your favorite movie?,Daisy,email,low,2021-10-07
ADMIN001,Admin,User,admin@bank.com,555-0000,admin,admin123,What is your favorite food?,Lucy,email,low,2020-01-01
